,Year,epiweek,Total_Rain,Total_Precip,Total_Snow,Outbreak,Salinity,Temperature,PAR,outbreak,WSPD,GSPD,V_east,V_north,WDIR,NVcount
108,2005,2,0.23,1.87,1.64,0,27.8,6.41,8.06,0,4.89,6.4,-1.78,1.89,-43.28,6
109,2005,3,22.03,22.03,0,0,27.15,7.7,2,0,6.69,8.08,5.19,-2.9,119.2,15
110,2005,4,2.61,2.61,0,0,24.11,8.25,4.17,0,4.25,5.23,2.33,-1.72,126.43,13
111,2005,5,4.34,4.34,0,0,24.74,8.07,6.91,0,6.57,7.98,3.11,-2.24,125.76,9
112,2005,6,1.8,1.87,0.07,0,23.73,7.49,14.48,0,4.24,5.24,0.87,-0.02,91.32,8
113,2005,7,0.17,0.17,0,0,25.56,7.01,20.01,0,4.21,5.17,-2.78,2.37,-49.55,7
114,2005,8,0.02,0.02,0,0,26.28,7.58,21.6,0,2.64,3.23,-1.32,0.89,-56.01,12
115,2005,9,1.93,1.93,0,0,27.52,7.91,15.48,0,5.07,6.21,3.04,-2.36,127.82,14
116,2005,10,1.84,1.84,0,0,27.94,9.14,20.83,0,3.69,4.54,-0.04,-0.03,-126.87,5
117,2005,11,4.79,4.96,0.16,0,27.75,9.04,26.96,0,4.42,5.39,1.38,-0.47,108.81,8
118,2005,12,5.72,5.72,0,0,27.67,8.91,25.57,0,5.75,7.07,1.43,-1.14,128.56,6
119,2005,13,5.98,5.98,0,0,27.27,8.97,23.27,0,7.15,8.76,3.19,-2.63,129.5,6
120,2005,14,4.43,4.43,0,0,26.66,9.2,28.06,0,6.82,8.48,2.81,-1.93,124.48,3
121,2005,15,8.29,8.29,0,0,28.24,9,22.61,0,8,9.92,5.5,-3.84,124.92,2
122,2005,16,0.51,0.51,0,0,28.47,11.13,46.14,0,3.79,4.58,-0.45,0.17,-69.3,2
123,2005,17,0.28,0.28,0,0,27.16,12.78,45.93,0,3.37,4.1,0.7,-0.8,138.81,3
124,2005,18,1.15,1.15,0,0,28.01,12.76,43.09,0,3.71,4.43,-0.63,0.3,-64.54,0
125,2005,19,1.88,1.88,0,0,28.12,12.92,37.49,0,4.56,5.44,1.69,-1.39,129.44,0
126,2005,20,7.01,7.01,0,0,28.44,12.03,36.69,0,6.25,7.58,3.88,-3.41,131.31,0
127,2005,21,1.77,1.77,0,0,26.08,13.7,54.27,0,4.91,5.89,-0.52,-0.26,-116.57,0
128,2005,22,1.45,1.45,0,0,25.26,15.58,48.98,0,4.83,5.83,0.78,-0.15,100.89,1
